,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
10,23,24,Buffered Bike Lane,E 47TH AVE,N GAYLORD ST,N BRIGHTON BLVD,POINT (-104.9667 39.7819),POINT (-104.9635 39.7819),"LINESTRING (-104.9667 39.7819, -104.9635 39.7819)",1,423.02,"LINESTRING (-104.9667 39.7819, -104.9635 39.7819)"
11,25,26,Shared Roadway,CURTIS ST,STR,5TH ST,POINT (-105.0093 39.7408),POINT (-105.0042 39.7421),"LINESTRING (-105.0093 39.7408, -105.0042 39.7421)",4,710.9,"LINESTRING (-105.0093 39.7408, -105.0042 39.7421)"
12,27,28,Bike Lane,GLENARM PL,W COLFAX AVE/N FOX ST/12TH ST,18TH ST,POINT (-104.9953 39.7401),POINT (-104.9929 39.742),"LINESTRING (-104.9953 39.7401, -104.9929 39.742)",0,455.03,"LINESTRING (-104.9953 39.7401, -104.9929 39.742)"
13,28,29,Bike Lane,GLENARM PL,W COLFAX AVE/N FOX ST/12TH ST,18TH ST,POINT (-104.9929 39.742),POINT (-104.9917 39.7429),"LINESTRING (-104.9929 39.742, -104.9917 39.7429)",0,221.45,"LINESTRING (-104.9929 39.742, -104.9917 39.7429)"
14,29,30,Bike Lane,GLENARM PL,W COLFAX AVE/N FOX ST/12TH ST,18TH ST,POINT (-104.9917 39.7429),POINT (-104.988 39.7457),"LINESTRING (-104.9917 39.7429, -104.988 39.7457)",0,685.78,"LINESTRING (-104.9917 39.7429, -104.988 39.7457)"
15,31,32,Bike Lane,E BUCHTEL BLVD,E BUCHTEL BLVD/E FLORIDA AVE,S FRANKLIN ST,POINT (-104.9744 39.6894),POINT (-104.971 39.6879),"LINESTRING (-104.9744 39.6894, -104.971 39.6879)",0,519.23,"LINESTRING (-104.9744 39.6894, -104.971 39.6879)"
16,32,33,Bike Lane,E BUCHTEL BLVD,E BUCHTEL BLVD/E FLORIDA AVE,S FRANKLIN ST,POINT (-104.971 39.6879),POINT (-104.9687 39.6869),"LINESTRING (-104.971 39.6879, -104.9687 39.6869)",0,350.02,"LINESTRING (-104.971 39.6879, -104.9687 39.6869)"
17,35,36,Bike Lane,N YOSEMITE ST,E 5TH PL,E 11TH AVE,POINT (-104.883987499742 39.7237250002299),POINT (-104.8855 39.7253),"LINESTRING (-104.883987499742 39.7237250002299, -104.8855 39.7253)",0,336.42,"LINESTRING (-104.883987499742 39.7237250002299, -104.8855 39.7253)"
18,36,37,Bike Lane,N YOSEMITE ST,E 5TH PL,E 11TH AVE,POINT (-104.8855 39.7253),POINT (-104.886550000036 39.7264500000107),"LINESTRING (-104.8855 39.7253, -104.886550000036 39.7264500000107)",0,241.41,"LINESTRING (-104.8855 39.7253, -104.886550000036 39.7264500000107)"
19,37,38,Bike Lane,N YOSEMITE ST,E 5TH PL,E 11TH AVE,POINT (-104.886550000036 39.7264500000107),POINT (-104.8868 39.7292),"LINESTRING (-104.886550000036 39.7264500000107, -104.8868 39.7292)",0,472.95,"LINESTRING (-104.886550000036 39.7264500000107, -104.8868 39.7292)"
20,38,39,Bike Lane,N YOSEMITE ST,E 5TH PL,E 11TH AVE,POINT (-104.8868 39.7292),POINT (-104.8847 39.7312),"LINESTRING (-104.8868 39.7292, -104.8847 39.7312)",0,441.7,"LINESTRING (-104.8868 39.7292, -104.8847 39.7312)"
21,39,40,Bike Lane,N YOSEMITE ST,E 5TH PL,E 11TH AVE,POINT (-104.8847 39.7312),POINT (-104.8847 39.7328),"LINESTRING (-104.8847 39.7312, -104.8847 39.7328)",0,274.47,"LINESTRING (-104.8847 39.7312, -104.8847 39.7328)"
22,41,42,Trail,STAPLETON GREENWAY TRAIL,QUEBEC ST,STAPLETON GREENWAY TRAIL,POINT (-104.900839984557 39.7534400099082),POINT (-104.886035094613 39.7543328252053),"LINESTRING (-104.900839984557 39.7534400099082, -104.886035094613 39.7543328252053)",6,1965.38,"LINESTRING (-104.900839984557 39.7534400099082, -104.886035094613 39.7543328252053)"
23,43,44,Trail,NORTH STAPLETON TRAIL,N CENTRAL PARK BLVD,NORTH STAPLETON TRAIL,POINT (-104.882949999673 39.7783500000966),POINT (-104.8891 39.7787),"LINESTRING (-104.882949999673 39.7783500000966, -104.8891 39.7787)",6,815.48,"LINESTRING (-104.882949999673 39.7783500000966, -104.8891 39.7787)"
24,44,45,Trail,NORTH STAPLETON TRAIL,N CENTRAL PARK BLVD,NORTH STAPLETON TRAIL,POINT (-104.8891 39.7787),POINT (-104.897693887128 39.7834243961087),"LINESTRING (-104.8891 39.7787, -104.897693887128 39.7834243961087)",6,1395.26,"LINESTRING (-104.8891 39.7787, -104.897693887128 39.7834243961087)"
25,48,49,Shared Use Path,PLACE MIDDLE SCHOOL CONNECTOR,S QUEBEC ST,S ONEIDA ST,POINT (-104.90355 39.6894000000107),POINT (-104.9049 39.6895),"LINESTRING (-104.90355 39.6894000000107, -104.9049 39.6895)",5,179.88,"LINESTRING (-104.90355 39.6894000000107, -104.9049 39.6895)"
26,49,50,Shared Use Path,PLACE MIDDLE SCHOOL CONNECTOR,S QUEBEC ST,S ONEIDA ST,POINT (-104.9049 39.6895),POINT (-104.9082 39.6895),"LINESTRING (-104.9049 39.6895, -104.9082 39.6895)",5,437.71,"LINESTRING (-104.9049 39.6895, -104.9082 39.6895)"
27,51,52,Shared Roadway,N WILLIAMS ST,CHEESMAN PARK 2/CHEESMAN PARK 5/E 8TH AVE,N WILLIAMS SPLIT/NM CHNG,POINT (-104.965833333108 39.7222333333715),POINT (-104.9659 39.7272),"LINESTRING (-104.965833333108 39.7222333333715, -104.9659 39.7272)",4,851.98,"LINESTRING (-104.965833333108 39.7222333333715, -104.9659 39.7272)"
28,52,53,Shared Roadway,N WILLIAMS ST,CHEESMAN PARK 2/CHEESMAN PARK 5/E 8TH AVE,N WILLIAMS SPLIT/NM CHNG,POINT (-104.9659 39.7272),POINT (-104.9659 39.7291),"LINESTRING (-104.9659 39.7272, -104.9659 39.7291)",4,325.89,"LINESTRING (-104.9659 39.7272, -104.9659 39.7291)"
29,54,10,Shared Roadway,N OSAGE ST,W 10TH AVE/NMCHG,W 11TH AVE,POINT (-105.0053 39.7321),POINT (-105.0053 39.7337),"LINESTRING (-105.0053 39.7321, -105.0053 39.7337)",4,274.37,"LINESTRING (-105.0053 39.7321, -105.0053 39.7337)"
30,56,57,Shared Roadway,E 3RD AVE,N GILPIN ST,N OGDEN ST,POINT (-104.9752 39.7201),POINT (-104.9731 39.7201000001716),"LINESTRING (-104.9752 39.7201, -104.9731 39.7201000001716)",4,278.19,"LINESTRING (-104.9752 39.7201, -104.9731 39.7201000001716)"
31,57,58,Shared Roadway,E 3RD AVE,N GILPIN ST,N OGDEN ST,POINT (-104.9731 39.7201000001716),POINT (-104.9667 39.7201),"LINESTRING (-104.9731 39.7201000001716, -104.9667 39.7201)",4,847.84,"LINESTRING (-104.9731 39.7201000001716, -104.9667 39.7201)"
32,60,61,Shared Roadway,34TH ST,N DOWNING ST,LARIMER ST,POINT (-104.9733 39.7642),POINT (-104.9748 39.7654),"LINESTRING (-104.9733 39.7642, -104.9748 39.7654)",4,285.77,"LINESTRING (-104.9733 39.7642, -104.9748 39.7654)"
33,61,62,Shared Roadway,34TH ST,N DOWNING ST,LARIMER ST,POINT (-104.9748 39.7654),POINT (-104.9757 39.766),"LINESTRING (-104.9748 39.7654, -104.9757 39.766)",4,157.3,"LINESTRING (-104.9748 39.7654, -104.9757 39.766)"
34,63,64,Shared Roadway,S ZUNI ST,W CEDAR AVE,W OHIO AVE,POINT (-105.0157 39.7074),POINT (-105.0157 39.7029),"LINESTRING (-105.0157 39.7074, -105.0157 39.7029)",4,772.08,"LINESTRING (-105.0157 39.7074, -105.0157 39.7029)"
35,66,67,Shared Roadway,W WALSH PL,W WALSH PL/S RALEIGH ST,MORRISON RD/S STUART ST,POINT (-105.0424 39.7035),POINT (-105.0431 39.704),"LINESTRING (-105.0424 39.7035, -105.0431 39.704)",4,126.35,"LINESTRING (-105.0424 39.7035, -105.0431 39.704)"
36,70,71,Shared Roadway,N DELAWARE ST,W 11TH AVE,W 12TH AVE,POINT (-104.9929 39.7339),POINT (-104.9929 39.7353),"LINESTRING (-104.9929 39.7339, -104.9929 39.7353)",4,240.08,"LINESTRING (-104.9929 39.7339, -104.9929 39.7353)"
37,72,73,Shared Roadway,S KEARNEY ST,N SOUTHMOOR DR/S KEARNEY LN,E VIRGINIA AVE,POINT (-104.9175 39.7159),POINT (-104.9176 39.7147),"LINESTRING (-104.9175 39.7159, -104.9176 39.7147)",4,206.33,"LINESTRING (-104.9175 39.7159, -104.9176 39.7147)"
38,73,74,Shared Roadway,S KEARNEY ST,N SOUTHMOOR DR/S KEARNEY LN,E VIRGINIA AVE,POINT (-104.9176 39.7147),POINT (-104.9177 39.7131),"LINESTRING (-104.9176 39.7147, -104.9177 39.7131)",4,274.87,"LINESTRING (-104.9176 39.7147, -104.9177 39.7131)"
39,77,78,Shared Roadway,N BELO HORIZONTE PKWY,MEDIAN,N CLERMONT STREET PKWY/E 3RD AVE,POINT (-104.9347 39.7202),POINT (-104.9348 39.7209),"LINESTRING (-104.9347 39.7202, -104.9348 39.7209)",4,120.82,"LINESTRING (-104.9347 39.7202, -104.9348 39.7209)"
40,80,81,Shared Roadway,N CLARKSON ST,E 20TH AVE,E 22ND AVE,POINT (-104.977 39.7475),POINT (-104.977 39.7495),"LINESTRING (-104.977 39.7475, -104.977 39.7495)",4,342.89,"LINESTRING (-104.977 39.7475, -104.977 39.7495)"
41,82,65,Shared Roadway,W CEDAR AVE,S TEJON ST,S BRYANT ST,POINT (-105.011 39.713),POINT (-105.0157 39.7131),"LINESTRING (-105.011 39.713, -105.0157 39.7131)",4,622.94,"LINESTRING (-105.011 39.713, -105.0157 39.7131)"
42,65,83,Shared Roadway,W CEDAR AVE,S TEJON ST,S BRYANT ST,POINT (-105.0157 39.7131),POINT (-105.018 39.713),"LINESTRING (-105.0157 39.7131, -105.018 39.713)",4,305.21,"LINESTRING (-105.0157 39.7131, -105.018 39.713)"
43,84,85,Shared Roadway,PARK AVE W,N GLOBEVILLE RD,N FOX ST/INTERSTATE 25/STR,POINT (-104.995 39.7657),POINT (-104.994849999964 39.7671500000107),"LINESTRING (-104.995 39.7657, -104.994849999964 39.7671500000107)",4,249.28,"LINESTRING (-104.995 39.7657, -104.994849999964 39.7671500000107)"
44,85,86,Shared Roadway,PARK AVE W,N GLOBEVILLE RD,N FOX ST/INTERSTATE 25/STR,POINT (-104.994849999964 39.7671500000107),POINT (-104.994899999964 39.7681250000429),"LINESTRING (-104.994849999964 39.7671500000107, -104.994899999964 39.7681250000429)",4,167.22,"LINESTRING (-104.994849999964 39.7671500000107, -104.994899999964 39.7681250000429)"
45,86,87,Shared Roadway,PARK AVE W,N GLOBEVILLE RD,N FOX ST/INTERSTATE 25/STR,POINT (-104.994899999964 39.7681250000429),POINT (-104.9953 39.7691),"LINESTRING (-104.994899999964 39.7681250000429, -104.9953 39.7691)",4,175.26,"LINESTRING (-104.994899999964 39.7681250000429, -104.9953 39.7691)"
46,89,90,Shared Roadway,N STEELE ST,E 37TH AVE,E 26TH AVENUE PKWY,POINT (-104.9499 39.7544),POINT (-104.9499 39.7582),"LINESTRING (-104.9499 39.7544, -104.9499 39.7582)",4,651.44,"LINESTRING (-104.9499 39.7544, -104.9499 39.7582)"
47,90,91,Shared Roadway,N STEELE ST,E 37TH AVE,E 26TH AVENUE PKWY,POINT (-104.9499 39.7582),POINT (-104.9499 39.7619),"LINESTRING (-104.9499 39.7582, -104.9499 39.7619)",4,634.25,"LINESTRING (-104.9499 39.7582, -104.9499 39.7619)"
48,91,92,Shared Roadway,N STEELE ST,E 37TH AVE,E 26TH AVENUE PKWY,POINT (-104.9499 39.7619),POINT (-104.9499 39.7657),"LINESTRING (-104.9499 39.7619, -104.9499 39.7657)",4,651.34,"LINESTRING (-104.9499 39.7619, -104.9499 39.7657)"
49,58,93,Shared Roadway,N GILPIN ST,E 3RD AVE,E 4TH AVE,POINT (-104.9667 39.7201),POINT (-104.96655 39.7220000000965),"LINESTRING (-104.9667 39.7201, -104.96655 39.7220000000965)",4,326.54,"LINESTRING (-104.9667 39.7201, -104.96655 39.7220000000965)"
50,94,23,Shared Roadway,E 47TH AVE,N BRIGHTON BLVD,N HUMBOLDT ST,POINT (-104.97 39.7819),POINT (-104.9667 39.7819),"LINESTRING (-104.97 39.7819, -104.9667 39.7819)",4,436.24,"LINESTRING (-104.97 39.7819, -104.9667 39.7819)"
51,95,96,Shared Roadway,N STEELE ST,DENVER ZOO RD/E 17TH AVE,E COLFAX AVE,POINT (-104.9501 39.742),POINT (-104.9501 39.7438),"LINESTRING (-104.9501 39.742, -104.9501 39.7438)",4,308.66,"LINESTRING (-104.9501 39.742, -104.9501 39.7438)"
52,97,98,Shared Roadway,S HURON ST,W LOUISIANA AVE,S PLATTE RIVER DR,POINT (-104.9968 39.6931),POINT (-104.997119897262 39.6886579092314),"LINESTRING (-104.9968 39.6931, -104.997119897262 39.6886579092314)",4,763.58,"LINESTRING (-104.9968 39.6931, -104.997119897262 39.6886579092314)"
53,99,100,Shared Roadway,N EUDORA WAY,N ELM ST,E 39TH AVE,POINT (-104.9308 39.7704),POINT (-104.9308 39.7717),"LINESTRING (-104.9308 39.7704, -104.9308 39.7717)",4,222.81,"LINESTRING (-104.9308 39.7704, -104.9308 39.7717)"
54,102,103,Shared Roadway,N PENNSYLVANIA ST,E 3RD AVE,E BAYAUD AVE,POINT (-104.9815 39.7147),POINT (-104.9814 39.7183),"LINESTRING (-104.9815 39.7147, -104.9814 39.7183)",4,617.73,"LINESTRING (-104.9815 39.7147, -104.9814 39.7183)"
55,103,104,Shared Roadway,N PENNSYLVANIA ST,E 3RD AVE,E BAYAUD AVE,POINT (-104.9814 39.7183),POINT (-104.9814 39.7209),"LINESTRING (-104.9814 39.7183, -104.9814 39.7209)",4,446.01,"LINESTRING (-104.9814 39.7183, -104.9814 39.7209)"
56,105,106,Shared Roadway,N DAHLIA ST,E 35TH AVE,E MONTVIEW BLVD,POINT (-104.9317 39.7474),POINT (-104.9317 39.7511),"LINESTRING (-104.9317 39.7474, -104.9317 39.7511)",4,634.42,"LINESTRING (-104.9317 39.7474, -104.9317 39.7511)"
57,106,107,Shared Roadway,N DAHLIA ST,E 35TH AVE,E MONTVIEW BLVD,POINT (-104.9317 39.7511),POINT (-104.9317 39.7547),"LINESTRING (-104.9317 39.7511, -104.9317 39.7547)",4,617.23,"LINESTRING (-104.9317 39.7511, -104.9317 39.7547)"
58,107,108,Shared Roadway,N DAHLIA ST,E 35TH AVE,E MONTVIEW BLVD,POINT (-104.9317 39.7547),POINT (-104.9317 39.7583),"LINESTRING (-104.9317 39.7547, -104.9317 39.7583)",4,617.18,"LINESTRING (-104.9317 39.7547, -104.9317 39.7583)"
59,108,109,Shared Roadway,N DAHLIA ST,E 35TH AVE,E MONTVIEW BLVD,POINT (-104.9317 39.7583),POINT (-104.9317 39.7619),"LINESTRING (-104.9317 39.7583, -104.9317 39.7619)",4,617.14,"LINESTRING (-104.9317 39.7583, -104.9317 39.7619)"
60,109,110,Shared Roadway,N DAHLIA ST,E 35TH AVE,E MONTVIEW BLVD,POINT (-104.9317 39.7619),POINT (-104.9318 39.7656),"LINESTRING (-104.9317 39.7619, -104.9318 39.7656)",4,634.37,"LINESTRING (-104.9317 39.7619, -104.9318 39.7656)"
61,112,61,Shared Roadway,LAWRENCE ST,35TH ST,24TH ST,POINT (-104.9845 39.7579),POINT (-104.9748 39.7654),"LINESTRING (-104.9845 39.7579, -104.9748 39.7654)",4,1816.29,"LINESTRING (-104.9845 39.7579, -104.9748 39.7654)"
62,61,113,Shared Roadway,LAWRENCE ST,35TH ST,24TH ST,POINT (-104.9748 39.7654),POINT (-104.9736 39.7663),"LINESTRING (-104.9748 39.7654, -104.9736 39.7663)",4,221.32,"LINESTRING (-104.9748 39.7654, -104.9736 39.7663)"
63,114,115,Shared Roadway,N FRANKLIN ST,E 40TH AVE/WALNUT ST,E BRUCE RANDOLPH AVE,POINT (-104.9684 39.7658),POINT (-104.9684 39.7713),"LINESTRING (-104.9684 39.7658, -104.9684 39.7713)",4,942.59,"LINESTRING (-104.9684 39.7658, -104.9684 39.7713)"
64,115,116,Shared Roadway,N FRANKLIN ST,E 40TH AVE/WALNUT ST,E BRUCE RANDOLPH AVE,POINT (-104.9684 39.7713),POINT (-104.9685 39.7729),"LINESTRING (-104.9684 39.7713, -104.9685 39.7729)",4,274.51,"LINESTRING (-104.9684 39.7713, -104.9685 39.7729)"
65,117,101,Shared Roadway,S VALLEJO ST,W KENTUCKY AVE,W TENNESSEE AVE,POINT (-105.0141 39.7),POINT (-105.013333332754 39.6987000002669),"LINESTRING (-105.0141 39.7, -105.013333332754 39.6987000002669)",4,245.13,"LINESTRING (-105.0141 39.7, -105.013333332754 39.6987000002669)"
66,118,119,Shared Roadway,S LOWELL BLVD,S MABRY WAY,W FLOYD AVE,POINT (-105.0351 39.6598),POINT (-105.0351 39.659),"LINESTRING (-105.0351 39.6598, -105.0351 39.659)",4,137.38,"LINESTRING (-105.0351 39.6598, -105.0351 39.659)"
67,120,121,Shared Roadway,N KRAMERIA ST,E 28TH AVE,E 29TH AVE,POINT (-104.9163 39.7511),POINT (-104.9163 39.7547),"LINESTRING (-104.9163 39.7511, -104.9163 39.7547)",4,617.25,"LINESTRING (-104.9163 39.7511, -104.9163 39.7547)"
68,121,122,Shared Roadway,N KRAMERIA ST,E 28TH AVE,E 29TH AVE,POINT (-104.9163 39.7547),POINT (-104.9164 39.7584),"LINESTRING (-104.9163 39.7547, -104.9164 39.7584)",4,634.49,"LINESTRING (-104.9163 39.7547, -104.9164 39.7584)"
69,93,51,Shared Roadway,N WILLIAMS ST,E 4TH AVE,MEDIAN END,POINT (-104.96655 39.7220000000965),POINT (-104.965833333108 39.7222333333715),"LINESTRING (-104.96655 39.7220000000965, -104.965833333108 39.7222333333715)",4,103.03,"LINESTRING (-104.96655 39.7220000000965, -104.965833333108 39.7222333333715)"
70,124,125,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.898949999964 39.6560500000107),POINT (-104.8987 39.6543),"LINESTRING (-104.898949999964 39.6560500000107, -104.8987 39.6543)",1,302.48,"LINESTRING (-104.898949999964 39.6560500000107, -104.8987 39.6543)"
71,126,127,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.9035 39.6676),POINT (-104.9029 39.6659),"LINESTRING (-104.9035 39.6676, -104.9029 39.6659)",1,302.66,"LINESTRING (-104.9035 39.6676, -104.9029 39.6659)"
72,127,128,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.9029 39.6659),POINT (-104.9024 39.663),"LINESTRING (-104.9029 39.6659, -104.9024 39.663)",1,502.53,"LINESTRING (-104.9029 39.6659, -104.9024 39.663)"
73,128,129,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.9024 39.663),POINT (-104.900899995038 39.65949259628),"LINESTRING (-104.9024 39.663, -104.900899995038 39.65949259628)",1,634.56,"LINESTRING (-104.9024 39.663, -104.900899995038 39.65949259628)"
74,129,130,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.900899995038 39.65949259628),POINT (-104.9 39.6575),"LINESTRING (-104.900899995038 39.65949259628, -104.9 39.6575)",1,362.57,"LINESTRING (-104.900899995038 39.65949259628, -104.9 39.6575)"
75,130,124,Buffered Bike Lane,S TAMARAC DR,PRIVATE RD,E GIRARD AVE,POINT (-104.9 39.6575),POINT (-104.898949999964 39.6560500000107),"LINESTRING (-104.9 39.6575, -104.898949999964 39.6560500000107)",1,285.47,"LINESTRING (-104.9 39.6575, -104.898949999964 39.6560500000107)"
76,131,132,Buffered Bike Lane,E YALE AVE,S JACKSON ST,S JOSEPHINE ST/PRIVATE RD,POINT (-104.948899999855 39.6669500001715),POINT (-104.946 39.6676),"LINESTRING (-104.948899999855 39.6669500001715, -104.946 39.6676)",1,400.76,"LINESTRING (-104.948899999855 39.6669500001715, -104.946 39.6676)"
77,132,133,Buffered Bike Lane,E YALE AVE,S JACKSON ST,S JOSEPHINE ST/PRIVATE RD,POINT (-104.946 39.6676),POINT (-104.9428 39.6676),"LINESTRING (-104.946 39.6676, -104.9428 39.6676)",1,424.72,"LINESTRING (-104.946 39.6676, -104.9428 39.6676)"
78,134,135,Bike Lane,N WASHINGTON ST,E SPEER BLVD,E ARIZONA AVE,POINT (-104.9793 39.6948),POINT (-104.9792 39.6966),"LINESTRING (-104.9793 39.6948, -104.9792 39.6966)",0,309.21,"LINESTRING (-104.9793 39.6948, -104.9792 39.6966)"
79,135,136,Bike Lane,N WASHINGTON ST,E SPEER BLVD,E ARIZONA AVE,POINT (-104.9792 39.6966),POINT (-104.9792 39.6984),"LINESTRING (-104.9792 39.6966, -104.9792 39.6984)",0,308.91,"LINESTRING (-104.9792 39.6966, -104.9792 39.6984)"
80,136,137,Bike Lane,N WASHINGTON ST,E SPEER BLVD,E ARIZONA AVE,POINT (-104.9792 39.6984),POINT (-104.9793 39.7075),"LINESTRING (-104.9792 39.6984, -104.9793 39.7075)",0,1561.61,"LINESTRING (-104.9792 39.6984, -104.9793 39.7075)"
81,137,138,Bike Lane,N WASHINGTON ST,E SPEER BLVD,E ARIZONA AVE,POINT (-104.9793 39.7075),POINT (-104.9792 39.7147),"LINESTRING (-104.9793 39.7075, -104.9792 39.7147)",0,1235.38,"LINESTRING (-104.9793 39.7075, -104.9792 39.7147)"
82,138,139,Bike Lane,N WASHINGTON ST,E SPEER BLVD,E ARIZONA AVE,POINT (-104.9792 39.7147),POINT (-104.9791 39.7183),"LINESTRING (-104.9792 39.7147, -104.9791 39.7183)",0,617.73,"LINESTRING (-104.9792 39.7147, -104.9791 39.7183)"
83,140,141,Bike Lane,W DARTMOUTH AVE,S GOLDEN WAY,S WEBSTER ST,POINT (-105.0673 39.6598),POINT (-105.0793 39.6628),"LINESTRING (-105.0673 39.6598, -105.0793 39.6628)",0,1673.68,"LINESTRING (-105.0673 39.6598, -105.0793 39.6628)"
84,142,143,Shared Roadway,N KEARNEY ST,E 16TH AVE,E 17TH AVENUE PKWY,POINT (-104.9176 39.7419),POINT (-104.9176 39.7434),"LINESTRING (-104.9176 39.7419, -104.9176 39.7434)",4,257.24,"LINESTRING (-104.9176 39.7419, -104.9176 39.7434)"
85,145,146,Shared Roadway,5TH ST,AURARIA PKWY/STR,W COLFAX AVE,POINT (-105.0086 39.7399),POINT (-105.011349999964 39.7435500000107),"LINESTRING (-105.0086 39.7399, -105.011349999964 39.7435500000107)",4,723.96,"LINESTRING (-105.0086 39.7399, -105.011349999964 39.7435500000107)"
86,98,147,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-104.997119897262 39.6886579092314),POINT (-105.001233333333 39.6891000002668),"LINESTRING (-104.997119897262 39.6886579092314, -105.001233333333 39.6891000002668)",0,550.72,"LINESTRING (-104.997119897262 39.6886579092314, -105.001233333333 39.6891000002668)"
87,147,148,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-105.001233333333 39.6891000002668),POINT (-105.018818594817 39.6880361255994),"LINESTRING (-105.001233333333 39.6891000002668, -105.018818594817 39.6880361255994)",0,2339.0,"LINESTRING (-105.001233333333 39.6891000002668, -105.018818594817 39.6880361255994)"
88,148,149,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-105.018818594817 39.6880361255994),POINT (-105.0297 39.6895),"LINESTRING (-105.018818594817 39.6880361255994, -105.0297 39.6895)",0,1464.55,"LINESTRING (-105.018818594817 39.6880361255994, -105.0297 39.6895)"
89,149,150,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-105.0297 39.6895),POINT (-105.0443 39.6895),"LINESTRING (-105.0297 39.6895, -105.0443 39.6895)",0,1935.8,"LINESTRING (-105.0297 39.6895, -105.0443 39.6895)"
90,150,151,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-105.0443 39.6895),POINT (-105.05 39.6895),"LINESTRING (-105.0443 39.6895, -105.05 39.6895)",0,755.73,"LINESTRING (-105.0443 39.6895, -105.05 39.6895)"
91,151,152,Bike Lane,W FLORIDA AVE,STR,S SHERIDAN BLVD,POINT (-105.05 39.6895),POINT (-105.0533 39.6896),"LINESTRING (-105.05 39.6895, -105.0533 39.6896)",0,437.86,"LINESTRING (-105.05 39.6895, -105.0533 39.6896)"
